game ID#	game type	game name	game inventor	Applicable Situations	synopsis/teaser	basic rules [iPhone]	basic rules [iPhone] continued	detailed rules/More Fun Ideas [iPhone]	detailed rules/More Fun Ideas [iPhone] continued	warnings																																						
1	physical	Knock Your Socks Off	Bernie De Koven	Waking up in the morning; going to bed at night	A new twist on “playing footsies”	First	 both partners face each other on all fours atop a large bed or blanket on the ground. (You can make up whatever starting position you want.) Next	 see who can pull the other’s socks off first. You must stay on the mattress or blanket	 or else. Or else . . . what? Well	 you could get one free tug on the rulebreaker’s sock. (Or a tickle or. . .) The winner is whoever wins two out of three matches	 or three out of five	 or really anyone who enjoys themselves.				There are of course risks of injury in any physical game. So it is always important to use common sense when playing any of these games. Be sure not to have any furniture	 sharp or hard objects	 or fragile items with you or near the bed that you could possibly hit with your head or foot	 or any other part of your body. Keep your head far enough away from the other person’s knees and feet. (Or to be 99 percent safe	 wear a helmet with a face guard.) When playing with kids older than age ten	 you might find it prudent to pair off by gender. Be sure you don’t have a bad back or any other serious bone	 muscle or internal problem. Use common sense.																										
2	physical	The Undercover Penny	Lisa Kirnin	Waking up in the morning; going to bed at night	You can bank on this game and have some fun between the sheets as well.	Two people play this game. One person throws a penny under the covers. Both scramble to find the penny	 hopefully without bumping heads. The one who finds the penny and picks it up wins! So	 what will the prize be? That depends who's playing. Best two out of three or three out of five wins whatever you decide.				Be sure not to have any furniture	 sharp or hard objects	 or fragile items near the bed that you could possibly hit with your head or foot. Be sure to keep your head far enough away from the other person’s knees and feet. Or to be 99 percent safe	 wear a helmet with a face guard. Be sure you don't have a bad back or any other serious bone	 muscular	 or internal problem. There have also been reports that sometimes this game doesn't get beyond the first penny under the covers with some couples. So	 use your own best judgment.																														
3	dramatic	Wake Up Singing	David and Joanne Kleijunas	Waking up in the morning; going to bed at night	Wake up feeling happy. Use your set of lungs to entertain one another and laugh your way into the day!	As soon as you wake up	 each of you think of a song that you know the melody of and at least the first few words. When you’ve got one	 ask your partner if they’re ready	 meaning “Are you now ready to start singing your song?” (Remember	 you do not need to know the entire song by heart	 only the beginning.) Don’t tell each other what your song is. Then	 one of you says	 “On your mark	 get set	 go!” (You can alternate this role from day to day.) On “Go!	” you both proceed to sing out your respective songs simultaneously to each other	 as authentically and in character with the original singer’s performance as you can. The more you ham it up	 the better! You’ll laugh your way into the day		1) Agree the night before on a song and do that song simultaneously. 2) Try learning an additional word or line each morning till you can both sing a song together in its entirety. 3) If you like your partner or child’s choice	 you can just join in and sing their song together. 4) Adults	 you can play this when you first meet in the shower together. Hence the name “shower song.” Or skip the shower and just do it when you first meet in the bathroom. 5) Parents and kids: Do it when you first meet at breakfast	 or in the car while driving. 6) See who can name the other person’s song first. 7) Do this when you call your partner or child on the phone. Make it the first thing you do after you say	 “HI!” In other words	 you say	 “Hi	 Are you ready?” And when they are	 you do the “on your mark	 get set	 go” routine.																		
4	dramatic	Three Shots (or The Gun Game)	Wavy Gravy	Waking up in the morning; going to bed at night	Shoot ‘Em Up! But do it quietly and unexpectedly	 by sneaking your way through the  day.	This game can be played any time of the day. You could even use it as an office game. And it certainly works as a “leaving or coming home” game	 because the whole idea is to surprise the people you shoot. They should never know when to expect it. Everyone has an invisible gun	 and everybody has three shots a day. You sneak up on people and pretend to shoot them	 and then they have to die the most dramatic death that they can imagine at that time	 coughing	 groaning	 flailing arms	 falling to the ground and gasping—the whole enchilada.				You can’t shoot if they’re carrying anything hot	 or breakable like a camera	 or if they’re doing an important job.																												
5	mental	Make up a Story		Waking up in the morning; going to bed at night	Try not to let your imagination run away with you	 as you pick up where the other player leaves off.	Just decide who starts	 and start telling a story one sentence (or one word) at a time. Each person says his or her sentence	 and then the other person picks up the story	 connecting as much as possible with the thought and character(s) of the previous sentence.		1) Let each person do three words only. 2) Once you’re both warmed up and into the swing of it	 and doing one sentence at a time	 try taking on different accents (Italian	 French	 German) or dialects (Brooklynese	 Southern). This will add a lot of humor to the proceeding and might also make it easier to get into the swing of things.		Don’t be judgmental: it’s is the worst enemy of creativity. Adults playing this game with children should be prepared for kids to come up with lots of stuff that is normally censored (for example	 references to various body excretions). Those have to come out	 pardon the pun	 if the creativity is going to come out.																										
6	dramatic	Surprise Wake-up Call	Carolyn Permentier	Waking up in the morning; going to bed at night	Make some one's day by surprising then with a call from the President or Madonna- whatever floats your boat.	Arrange with another family with whom you’re close to take turns giving each other wake-up calls. For example: wives call Mondays and Wednesdays; husbands call Tuesdays and Thursdays	 responsible kids call Fridays (this can be a reward for the kids). The idea is for the “waker” to pretend he or she is someone else like the president of the United States; Fidel Castro (if you can speak Spanish); Inspector Clouseau (if you can do a French accent); a very sexy admirer from the company the “wakee” works at (be careful with this one); the guy who’s trying to give you a free newspaper subscription (you of course make it the National Enquirer to add some pizazz); a market researcher doing a survey on whatever sensational topic you can imagine; that Publishers Clearinghouse Sweepstakes guy offering you a million bucks.		Pretend you’re one of the most famous people alive (or secretary thereof) within the occupation of the person you’re calling. For example	 if you’re waking up someone who is an stockbroker	 you could say you’re the assistant to the president of Merrill Lynch	 who’s heard about how well they’ve been performing and wants to offer them a position in New York. Or if you’re waking up an attorney	 you could say you’re Alan Dershowitz or his assistant. You got the idea.		Warning: Double-check that you are calling at the precise time when the “wakee” wants	 and not sooner or later. Slip ups could be detrimental to neighborly relations. This is probably not a game for \weekends	 when most people prefer waking up naturally																															
7	mental	Surprise Gift	Karen Ehrlich	Waking up in the morning; going to bed at night	A little goes a long way. Surprise loved ones by leaving small tokens of affection for them to find.	Sometime in the evening	 slip a love note or other surprise under your mate’s pillow. When you go to bed	 just tell them that there’s a surprise under their pillow.																																								
8	mental	The Alphabet Game	Bob Cambanes	Riding in the car; while walking; while biking	You’ll  have to mind your P’s and Q’s when playing this game. Choose a topic. Then take turns beginning each sentence with the letters of the alphabet	 from A  all the way to Z. 	Pick a topic and choose someone to start the conversation. Whoever starts talking has to start their sentence with the letter A. The next person has to start their sentence with the letter B	 the next with C	 and so on. It’s best to determine the order ahead of time	 say clockwise or counter clockwise	 so everyone gets a turn. You also should announce in advance that the X and Z are excluded	 and for the first two or three times	 maybe those stumpers Q and J as well. Decide if you want to make it competitive by giving points.		1) Give extra points if anyone (a) compliments the driver in their sentence; or (b) uses a real word that no other children her age or older can define. 2) Require that the each person start their sentence with the last letter of the last word of the person who spoke before them. 3) See how fast you can get through the alphabet	 and then try to beat your record	 offering a special reward if you do. 4) For more advanced players	 pick an object like water	 sun	 flowers	 dogs	 etc. and whatever you say	 you must make some reference to that object. So if you were about to say “After school let out	 I met Sally	” and the object for the game was “sun	” you might now say	 “After school let out	 I met Sally	 who has hair as bright and golden as the sun!” The person responsible for the letter B might respond: “But when I started to talk to her	 the sun was in my eyes.” 	And person C might respond	 “Carefully	 I bet	 you maneuvered yourself into another position that got the sun out of your eyes?”														
9	mental	Three Best Things	Michelle Ballew	Riding in the car; while walking; while biking	Whether you’re in a car	 on a boat	 train or plane- it’s always important to keep the positive energy flowing. Take turns naming the three best things that happened to you during your day (funny incidents included).	Very simple: While in the car or taking a walk	 just share	 taking turns	 the three best things that happened to you during your day. 		An added variation with this one rule: You can only ask two questions about each of the other person’s best things	 and they must ask at least two questions about  your three best things.   																																		
10	mental	Eight Best Things	Michelle Ballew	Riding in the car; while walking; while biking	A variation of the game “Three Best Things” take turns naming eight best things that happened to you during your day (funny incidents included)	While in the car or taking a walk	 just share	 taking turns	 the eight best things that happened to you during your day. This variation is especially powerful in forcing you to really start seeing and appreciating the small things that happen every day.																																							
11	mental	Last Letter First Letter		Riding in the car; while walking; while biking	Like a chain reaction	 one person says the name of a person	 place or thing and the next person does the same	 starting with the last letter of the previous person’s word. Definitely keeps the wheels turning.	Decide who starts and your order (clockwise or counterclockwise). Then whoever starts says the name of an historical figure (or animal	 flower	 food	 etc.)	 and the next person must say the name of another historical figure ( or animal	 etc.) that starts with the last letter of the previous person’s word. For example	 if the first person says “Martin Luther King	” the next person could say “Ghandi.” If the first person said “tiger	” the next person could say “raccoon.”																															
